period_yyyymm,path,row_count,size_bytes,size_mb,source_file_count
2021-01,year=2021/month=01/data.parquet,2091505,35822902,34.16,6
2021-02,year=2021/month=02/data.parquet,2091505,35875272,34.21,6
2021-03,year=2021/month=03/data.parquet,2091505,36803059,35.1,6
2021-04,year=2021/month=04/data.parquet,2125305,37219530,35.5,6
2021-05,year=2021/month=05/data.parquet,2125305,36877155,35.17,6
2021-06,year=2021/month=06/data.parquet,2125305,37212961,35.49,6
2021-07,year=2021/month=07/data.parquet,2138203,37417683,35.68,6
2021-08,year=2021/month=08/data.parquet,2138203,37366066,35.64,6
2021-09,year=2021/month=09/data.parquet,2138203,37470673,35.73,6
2021-10,year=2021/month=10/data.parquet,1211970,20578911,19.63,5
2021-11,year=2021/month=11/data.parquet,1211970,20692474,19.73,5
2021-12,year=2021/month=12/data.parquet,1211970,20746583,19.79,5
2022-01,year=2022/month=01/data.parquet,2238966,38373646,36.6,6
2022-02,year=2022/month=02/data.parquet,2238966,38551262,36.77,6
2022-03,year=2022/month=03/data.parquet,2238966,39682995,37.84,6
2022-04,year=2022/month=04/data.parquet,2251968,39591445,37.76,6
2022-05,year=2022/month=05/data.parquet,2251968,39212977,37.4,6
2022-06,year=2022/month=06/data.parquet,2251968,38890385,37.09,6
2022-07,year=2022/month=07/data.parquet,2266158,39322574,37.5,6
2022-08,year=2022/month=08/data.parquet,2266158,39966094,38.11,6
2022-09,year=2022/month=09/data.parquet,2266158,39619755,37.78,6
2022-10,year=2022/month=10/data.parquet,2278990,39377471,37.55,6
2022-11,year=2022/month=11/data.parquet,2278990,39675438,37.84,6
2022-12,year=2022/month=12/data.parquet,2278990,40424435,38.55,6
2023-01,year=2023/month=01/data.parquet,2354183,40594042,38.71,6
2023-02,year=2023/month=02/data.parquet,2354183,40217738,38.35,6
2023-03,year=2023/month=03/data.parquet,2354183,40985340,39.09,6
2023-04,year=2023/month=04/data.parquet,2372226,41175985,39.27,6
2023-05,year=2023/month=05/data.parquet,2372226,41449958,39.53,6
2023-06,year=2023/month=06/data.parquet,2372226,41285115,39.37,6
2023-07,year=2023/month=07/data.parquet,2372419,41368655,39.45,6
2023-08,year=2023/month=08/data.parquet,2372419,41809541,39.87,6
2023-09,year=2023/month=09/data.parquet,2372419,41175926,39.27,6
2023-10,year=2023/month=10/data.parquet,2377271,41647103,39.72,6
2023-11,year=2023/month=11/data.parquet,2377271,41704776,39.77,6
2023-12,year=2023/month=12/data.parquet,2377271,41821305,39.88,6
2024-01,year=2024/month=01/data.parquet,2331786,41006373,39.11,6
2024-02,year=2024/month=02/data.parquet,2331786,40406224,38.53,6
2024-03,year=2024/month=03/data.parquet,2337761,40727766,38.84,6
2024-04,year=2024/month=04/data.parquet,2337761,41046946,39.15,6
2024-05,year=2024/month=05/data.parquet,2338633,41096351,39.19,6
2024-06,year=2024/month=06/data.parquet,2338633,40538446,38.66,6
2024-07,year=2024/month=07/data.parquet,2358771,41578693,39.65,6
2024-08,year=2024/month=08/data.parquet,2358771,42032735,40.09,6
2024-09,year=2024/month=09/data.parquet,2363998,41172436,39.27,6
2024-10,year=2024/month=10/data.parquet,2363998,42393115,40.43,6
2024-11,year=2024/month=11/data.parquet,2372256,41915890,39.97,6
2024-12,year=2024/month=12/data.parquet,2372256,42476647,40.51,6
2025-01,year=2025/month=01/data.parquet,2418686,42664817,40.69,6
2025-02,year=2025/month=02/data.parquet,2418686,42078449,40.13,6
2025-03,year=2025/month=03/data.parquet,2428633,43090761,41.09,6
2025-04,year=2025/month=04/data.parquet,2428633,43340767,41.33,6
2025-05,year=2025/month=05/data.parquet,1443937,23929188,22.82,5
2025-06,year=2025/month=06/data.parquet,2422130,42650440,40.67,6
2025-07,year=2025/month=07/data.parquet,2422130,43345628,41.34,6
2025-08,year=2025/month=08/data.parquet,2441250,43633779,41.61,6
2025-09,year=2025/month=09/data.parquet,2441250,44457409,42.4,6
2025-10,year=2025/month=10/data.parquet,2278901,40320936,38.45,6
2025-11,year=2025/month=11/data.parquet,2284076,40301312,38.43,6
2025-12,year=2025/month=12/data.parquet,2297451,40729179,38.84,6
2026-01,year=2026/month=01/data.parquet,2366636,44003382,41.96,5
2026-02,year=2026/month=02/data.parquet,4285520,81216920,77.45,10
2026-03,year=2026/month=03/data.parquet,2278970,43546861,41.53,3
2026-04,year=2026/month=04/data.parquet,2283773,43936511,41.9,3
