period_yyyymm,row_count
2021-02,6735
2021-03,6839
2021-04,6867
2021-05,6913
2021-06,6874
2021-07,6940
2021-08,6961
2021-09,7051
2021-10,7090
2021-11,7098
2021-12,7088
2022-01,7060
2022-02,7003
2022-03,7101
2022-04,7083
2022-05,7086
2022-06,7010
2022-07,7023
2022-08,7123
2022-09,7090
2022-10,6994
2022-11,6974
2022-12,6986
2023-01,7026
2023-02,7040
2023-03,7058
2023-04,7059
2023-05,7077
2023-06,7053
2023-07,7045
2023-08,7082
2023-09,7010
2023-10,7084
2023-11,7112
2023-12,7044
2024-01,7096
2024-02,7023
2024-03,7050
2024-04,7099
2024-05,7098
2024-06,7107
2024-07,7158
2024-08,7154
2024-09,7143
2024-10,7175
2024-11,7145
2024-12,7204
2025-01,7150
2025-02,7164
2025-03,7206
2025-04,7199
2025-05,7199
2025-06,7127
2025-07,7189
2025-08,7197
2025-09,7171
2025-10,7155
2025-11,7140
2025-12,7225
2026-01,7175
