channel,row_count
CPPI,148932
GH+SHPPI,100128
GH,76043
SHPPI,51083
TOTAL,30245
GH + SHPPI,19409
TOTAL(GH+SHPPI+CPPI),5503
HOSPITAL,5356
PRIV. PRACTICE,4156
(NULL),1573
JW Channel,75
Rx Intention,42
GH+SHPPI+CPPI,40
*인사차 방문 제외,25
Data Type : Monthly,25
Usefulness,25
Value Type : Product Detail,25
"Specialty : Cardio, Dermato, Endo, E.N.T., Gastro, G/S, OBGY, Ne",10
Hospital Type : CPPI,5
Hospital Type : GH,5
Hospital Type : GH + SHPPI,5
Hospital Type : SHPPI,5
Hospital Type : TOTAL(GH+SHPPI+CPPI),5
Specialty : CPPI,5
Specialty : GH + SHPPI + CPPI,5
Specialty : SHPPI,5
