source,source_file,row_count
chso,CHSO_KOR_SellOut_Basic_Feb-19-2026(2026년 1월까지).xlsx,424428
csd,ChannelDynamics_JW Pharma Regional Report_Aug.25.xlsx,86678
csd,ChannelDynamics_JW Pharma Regional Report_Dec.24_공지.xlsx,84723
csd,ChannelDynamics_JW Pharma Regional Report_July25.xlsx,87122
csd,ChannelDynamics_JW Pharma Regional Report_June25.xlsx,88488
csd,CSD_ChannelDynamics_JW Pharma Regional Report_Oct.25.xlsx,84639
csd,Keywords for JW Aug. 25.xlsx,2436
csd,Keywords for JW July. 25.xlsx,2639
csd,Keywords for JW Oct. 25.xlsx,2276
csd,Keywords for JW Sep. 25.xlsx,2569
csd,Meetings for JW Aug. 25.xlsx,274
csd,Meetings for JW July. 25.xlsx,297
csd,Meetings for JW Oct. 25.xlsx,310
csd,Meetings for JW Sep. 25.xlsx,284
nsa,NSA_IQVIA_2025 4Q.csv,897654
nsa,NSA_IQVIA_National Sales Audit_2Q 2025_3comb 가로.csv,889870
nsa,NSA_IQVIA_National Sales Audit_2Q 2025_3comb 가로.xlsx,889870
