atc_code,canonical_audit_channel,nsa_rows,nsa_unique_product_pack_keys
A01A0,KCPA,169,6
A01A0,KHPA,2210,55
A01A0,KPA,8023,186
A01B0,KHPA,72,2
A01B0,KPA,72,2
A02A1,KCPA,1895,59
A02A1,KHPA,3248,97
A02A1,KPA,8013,188
A02A2,KCPA,203,10
A02A2,KHPA,621,17
A02A2,KPA,602,18
A02A3,KPA,315,8
A02A4,KHPA,59,1
A02A4,KPA,249,7
A02A5,KPA,101,2
A02A6,KHPA,226,6
A02A6,KPA,1409,36
A02B1,KCPA,1230,53
A02B1,KHPA,4725,181
A02B1,KPA,21985,531
A02B2,KCPA,1847,83
A02B2,KHPA,11381,395
A02B2,KPA,39370,858
A02B3,KCPA,51,1
A02B3,KHPA,497,15
A02B3,KPA,760,18
A02B4,KHPA,124,3
A02B4,KPA,180,3
A02B9,KCPA,763,35
A02B9,KHPA,4762,187
A02B9,KPA,18676,390
A02X0,KCPA,521,32
A02X0,KHPA,3615,149
A02X0,KPA,18538,397
A03A0,KCPA,1734,47
A03A0,KHPA,4618,152
A03A0,KPA,15075,315
A03C0,KCPA,10,1
A03C0,KHPA,60,1
A03C0,KPA,60,1
A03D0,KCPA,3,2
A03D0,KHPA,65,4
A03D0,KPA,425,10
A03E0,KCPA,324,16
A03E0,KHPA,760,27
A03E0,KPA,2715,53
A03F0,KCPA,2793,99
A03F0,KHPA,8876,343
A03F0,KPA,44630,934
A03G0,KHPA,127,8
A03G0,KPA,150,8
A04A1,KCPA,292,11
A04A1,KHPA,3794,73
A04A1,KPA,1172,28
A04A2,KHPA,298,6
A04A2,KPA,244,5
A04A9,KCPA,60,1
A04A9,KHPA,388,16
A04A9,KPA,2262,58
A05A1,KCPA,3,1
A05A1,KHPA,60,1
A05A1,KPA,466,14
A05A2,KCPA,135,4
A05A2,KHPA,914,24
A05A2,KPA,2001,41
A05A9,KHPA,4,4
A05B0,KCPA,1244,38
A05B0,KHPA,2953,81
A05B0,KPA,8512,225
A05C0,KCPA,65,3
A05C0,KHPA,1207,51
A05C0,KPA,6411,117
A06A2,KCPA,176,10
A06A2,KHPA,685,26
A06A2,KPA,3941,109
A06A3,KCPA,308,10
A06A3,KHPA,778,25
A06A3,KPA,2790,64
A06A4,KCPA,93,5
A06A4,KHPA,436,11
A06A4,KPA,567,13
A06A6,KCPA,155,5
A06A6,KHPA,867,24
A06A6,KPA,1137,34
A06A7,KCPA,14,1
A06A7,KHPA,60,1
A06A7,KPA,104,3
A06A9,KCPA,51,4
A06A9,KHPA,686,19
A06A9,KPA,1050,25
A06B1,KCPA,486,17
A06B1,KHPA,760,22
A06B1,KPA,617,21
A06B2,KCPA,498,18
A06B2,KHPA,730,24
A06B2,KPA,698,23
A07A0,KCPA,60,1
A07A0,KHPA,304,9
A07A0,KPA,1877,53
A07B0,KCPA,202,7
A07B0,KHPA,709,19
A07B0,KPA,987,27
A07E1,KHPA,865,19
A07E1,KPA,942,20
A07E2,KHPA,114,2
A07E2,KPA,120,2
A07E9,KHPA,244,8
A07E9,KPA,120,5
A07F0,KCPA,402,23
A07F0,KHPA,2465,90
A07F0,KPA,6958,161
A07G0,KCPA,3,1
A07G0,KHPA,122,4
A07G0,KPA,182,5
A07H0,KCPA,151,4
A07H0,KHPA,285,8
A07H0,KPA,579,10
A07X0,KCPA,3,1
A07X0,KHPA,295,7
A07X0,KPA,473,12
A08A0,KCPA,242,17
A08A0,KHPA,722,28
A08A0,KPA,11592,268
A09A0,KCPA,305,14
A09A0,KHPA,1963,59
A09A0,KPA,5864,159
