product_name_kor,pack_desc,mfr_name_kor,atc_code,row_count
리도카인 알리코,GEL 2% 120G,알리코제약,N01B3,180
프롤리아,PRE-F SRN SC 60MG 1ML,암젠코리아,M05B9,180
리트모놈SR,CAPS L.A 225MG 50,한국애보트,C01B0,180
데파코트,C.T FILM L.A 250MG 100,한국애보트,N03A0,180
데파코트,C.T FILM L.A 500MG 100,한국애보트,N03A0,180
라벤다 에이프로젠,CREAM 15G,에이프로젠,D07B3,180
베라실,C.TAB FILM 20Y 100,한국아스텔라스제약,B01C4,180
하루날디,FR-DRIED TAB 0.2MG 140,한국아스텔라스제약,G04C2,180
시네츄라,SYR 500ML,안국약품,R05C0,180
알카인,EYE DROPS 0.5% 15ML,한국알콘,S01H0,180
레바미피드 알보젠,C.TAB FILM 100MG 500,알보젠,A02B9,180
맥스디오,C.TAB FILM 160MG 100,알보젠,C09C0,180
시나세트,C.TAB FILM 25MG 100,알보젠,H04F0,180
카리메트 알보젠,GRANS SACHET 5G 100,알보젠,V03G1,180
카리메트 알보젠,PWD SACHET 5G 100,알보젠,V03G1,180
네프로,TABS 710MG 300,알보젠,V03G2,180
아타칸,TABS 16MG 100,아스트라제네카,C09C0,180
아타칸,TABS 8MG 100,아스트라제네카,C09C0,180
풀미코트레스퓰,LIQ INH 0.5MG 2ML 30,아스트라제네카,R03D1,180
트라젠타,C.TAB FILM 5MG 30,한국베링거인겔하임,A10N1,180
미라펙스,TABS 0.25MG 100,한국베링거인겔하임,N04A0,180
아트로벤트유디비,LIQ INH 500Y 2ML 20,한국베링거인겔하임,R03K1,180
카나브,C.TAB FILM 30MG 300,보령,C09C0,180
메게이스,SUSP SACHET 40MG/ML 20ML 30,보령,L02A2,180
자이프렉사,C.TAB FILM 10MG 56,보령,N05A1,180
케이슈머,PWD SACHET 5G 90,보령,V03G1,180
아달라트오로스,C.TAB L.A 30MG 70,바이엘코리아,C08A0,180
메로겔,GEL 0.75% 5G 2,비씨월드제약,V03X0,180
덱시드,C.TAB FILM 480MG 100,부광약품,A10X9,180
치옥타시드HR,C.TAB FILM 600MG 100,부광약품,A10X9,180
