period_yyyymm,path,row_count,source_files,loaded_at
2021-01,year=2021/month=01/data.parquet,2091505,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2101-03.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-02,year=2021/month=02/data.parquet,2091505,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2101-03.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-03,year=2021/month=03/data.parquet,2091505,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2101-03.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-04,year=2021/month=04/data.parquet,2125305,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2104-06.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-05,year=2021/month=05/data.parquet,2125305,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2104-06.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-06,year=2021/month=06/data.parquet,2125305,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2104-06.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-07,year=2021/month=07/data.parquet,2138203,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2107-09.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-08,year=2021/month=08/data.parquet,2138203,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2107-09.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-09,year=2021/month=09/data.parquet,2138203,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_ 내과 제외 2107-09.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-10,year=2021/month=10/data.parquet,1211970,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-11,year=2021/month=11/data.parquet,1211970,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2021-12,year=2021/month=12/data.parquet,1211970,"['기타 2021-2026.02.xlsx', '병원 2021.xlsx', '보건소 2021-2022.xlsx', '상급종병_2021.xlsx', '의원_내과 세부진료과 2021.xlsx']",2026-05-19T01:23:49+09:00
2022-01,year=2022/month=01/data.parquet,2238966,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2201-03.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-02,year=2022/month=02/data.parquet,2238966,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2201-03.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-03,year=2022/month=03/data.parquet,2238966,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2201-03.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-04,year=2022/month=04/data.parquet,2251968,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2204-06.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-05,year=2022/month=05/data.parquet,2251968,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2204-06.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-06,year=2022/month=06/data.parquet,2251968,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2204-06.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-07,year=2022/month=07/data.parquet,2266158,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2207-09.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-08,year=2022/month=08/data.parquet,2266158,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2207-09.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-09,year=2022/month=09/data.parquet,2266158,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2207-09.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-10,year=2022/month=10/data.parquet,2278990,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2210-12.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-11,year=2022/month=11/data.parquet,2278990,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2210-12.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2022-12,year=2022/month=12/data.parquet,2278990,"['기타 2021-2026.02.xlsx', '병원 2022.xlsx', '보건소 2021-2022.xlsx', '상급종병_2022.xlsx', '의원_ 내과 제외 2210-12.xlsx', '의원_내과 세부진료과 2022.xlsx']",2026-05-19T01:23:49+09:00
2023-01,year=2023/month=01/data.parquet,2354183,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2301-03.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2023-02,year=2023/month=02/data.parquet,2354183,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2301-03.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
2023-03,year=2023/month=03/data.parquet,2354183,"['기타 2021-2026.02.xlsx', '병원 2023.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2023.xlsx', '의원_ 내과 제외 2301-03.xlsx', '의원_내과 세부진료과 2023.xlsx']",2026-05-19T01:23:49+09:00
