ml_id,source,channel,specialty,rows,products
ml_001,ubist,CL,IGF,5982530,1404
ml_001,ubist,CL,Unknown,3088259,1385
ml_001,ubist,TH,Unknown,1820273,985
ml_001,ubist,Semi,Unknown,1502966,1394
ml_001,ubist,Unknown,Unknown,981037,1108
ml_001,ubist,TH,IGF,586215,999
ml_001,ubist,기타,Unknown,536121,1193
ml_001,ubist,TH,GI,322960,819
ml_001,ubist,TH,Cardio,216648,571
ml_001,ubist,TH,Neuro,179839,481
ml_001,ubist,CL,Uro,167404,1004
ml_001,ubist,CL,Neuro,158401,923
ml_001,ubist,GH,Unknown,150706,1052
ml_001,ubist,TH,Nephro,116354,333
ml_001,ubist,GH,IGF,100901,1141
ml_001,ubist,TH,Endo,92319,340
ml_001,ubist,TH,Uro,87889,428
ml_001,ubist,GH,GI,49150,1024
ml_001,ubist,GH,Cardio,23356,727
ml_001,ubist,GH,Neuro,19849,692
ml_001,ubist,GH,Nephro,15110,621
ml_001,ubist,GH,Endo,10209,472
ml_001,ubist,GH,Uro,9620,379
ml_002,chso,Sell_Out,,11160,186
ml_002,nsa,KHPA,,4803,135
ml_002,nsa,KPA,,4576,133
ml_002,nsa,KCPA,,3184,106
ml_003,chso,Sell_Out,,128340,2139
ml_004,chso,Sell_Out,,480,8
ml_004,nsa,KPA,,20,2
ml_004,nsa,KHPA,,20,2
ml_005,ubist,CL,IGF,3010600,807
ml_005,ubist,CL,Unknown,1273332,796
ml_005,ubist,TH,Unknown,1181233,503
ml_005,ubist,TH,IGF,674372,561
ml_005,ubist,Semi,Unknown,657904,804
ml_005,ubist,TH,Cardio,436149,508
ml_005,ubist,기타,Unknown,435479,778
ml_005,ubist,TH,Nephro,220871,434
ml_005,ubist,TH,Neuro,211660,430
ml_005,ubist,Unknown,Unknown,205809,568
ml_005,ubist,TH,Endo,197559,421
ml_005,ubist,CL,Neuro,182663,670
ml_005,ubist,TH,GI,109312,390
ml_005,ubist,GH,Unknown,75164,591
ml_005,ubist,GH,IGF,70845,684
ml_005,ubist,GH,Cardio,34385,590
ml_005,ubist,CL,Uro,29782,412
ml_005,ubist,GH,GI,22533,586
ml_005,ubist,GH,Nephro,21130,554
ml_005,ubist,GH,Neuro,18748,543
ml_005,ubist,GH,Endo,14926,475
ml_005,ubist,TH,Uro,12175,196
ml_005,ubist,GH,Uro,782,108
ml_006,ubist,CL,IGF,3017720,1126
ml_006,ubist,CL,Unknown,743173,1058
ml_006,ubist,Semi,Unknown,601602,1074
ml_006,ubist,TH,Unknown,412764,470
