ml_id,total_products,matched_products,rows,product_match_rate,sources
ml_001,1411,1411,16218116,1.0,"{""ubist"": 16218116}"
ml_002,186,186,23723,1.0,"{""chso"": 11160, ""nsa"": 12563}"
ml_003,2139,2139,128340,1.0,"{""chso"": 128340}"
ml_004,10,8,520,0.8,"{""chso"": 480, ""nsa"": 40}"
ml_005,808,808,9097413,1.0,"{""ubist"": 9097413}"
ml_006,1127,1127,6466168,1.0,"{""ubist"": 6466168}"
ml_007,986,982,7465124,0.9959432048681541,"{""ubist"": 7465124}"
ml_008,3553,3547,27601445,0.9983112862369828,"{""ubist"": 27601445}"
ml_009,1060,1059,6196701,0.9990566037735849,"{""ubist"": 6196701}"
ml_010,20,20,6066,1.0,"{""chso"": 1200, ""nsa"": 4866}"
ml_011,60,60,10194,1.0,"{""chso"": 3600, ""nsa"": 6594}"
ml_012,76,76,17133,1.0,"{""chso"": 8902, ""nsa"": 8231}"
ml_013,42,42,11469,1.0,"{""chso"": 2460, ""nsa"": 9009}"
ml_014,331,331,48433,1.0,"{""chso"": 19860, ""nsa"": 28573}"
ml_015,4,4,1406,1.0,"{""chso"": 240, ""nsa"": 1166}"
ml_016,52,52,6573,1.0,"{""chso"": 3120, ""nsa"": 3453}"
