ml_id,source,rows,matched_products
ml_001,ubist,16218116,1411
ml_002,chso,11160,186
ml_002,nsa,12563,135
ml_003,chso,128340,2139
ml_004,chso,480,8
ml_004,nsa,40,2
ml_005,ubist,9097413,808
ml_006,ubist,6466168,1127
ml_007,ubist,7465124,982
ml_008,ubist,27601445,3547
ml_009,ubist,6196701,1059
ml_010,chso,1200,20
ml_010,nsa,4866,18
ml_011,chso,3600,60
ml_011,nsa,6594,27
ml_012,chso,8902,76
ml_012,nsa,8231,44
ml_013,chso,2460,41
ml_013,nsa,9009,37
ml_014,chso,19860,331
ml_014,nsa,28573,87
ml_015,chso,240,4
ml_015,nsa,1166,4
ml_016,chso,3120,52
ml_016,nsa,3453,27
