ml_id,source,match_method,match_confidence,rows,products
ml_001,ubist,product_name_exact,high,16218116,1411
ml_002,chso,product_name_pack_contains,high,11160,186
ml_002,nsa,product_name_pack,high,12106,128
ml_002,nsa,product_name_pack_contains,high,457,17
ml_003,chso,product_name_pack_contains,high,128340,2139
ml_004,chso,product_name_pack_contains,high,480,8
ml_004,nsa,product_name_pack,high,40,2
ml_005,ubist,product_name_exact,high,9097413,808
ml_006,ubist,product_name_exact,high,6466168,1127
ml_007,ubist,product_name_exact,high,7465124,982
ml_008,ubist,product_name_exact,high,27601445,3547
ml_009,ubist,product_name_exact,high,6196701,1059
ml_010,chso,product_name_pack_contains,high,1200,20
ml_010,nsa,product_name_pack,high,4866,18
ml_011,chso,product_name_pack_contains,high,3600,60
ml_011,nsa,product_name_pack,high,6192,27
ml_011,nsa,product_name_pack_contains,high,402,6
ml_012,chso,product_name_pack,high,3685,26
ml_012,chso,product_name_pack_contains,high,5217,76
ml_012,nsa,product_name_pack,high,8027,43
ml_012,nsa,product_name_pack_contains,high,204,3
ml_013,chso,product_name_pack_contains,high,2460,41
ml_013,nsa,product_name_pack,high,9009,37
ml_014,chso,product_name_pack_contains,high,19860,331
ml_014,nsa,product_name_pack,high,20260,85
ml_014,nsa,product_name_pack_contains,high,8313,27
ml_015,chso,product_name_pack_contains,high,240,4
ml_015,nsa,product_name_pack,high,1166,4
ml_016,chso,product_name_pack_contains,high,3120,52
ml_016,nsa,product_name_pack,high,3393,27
ml_016,nsa,product_name_pack_contains,high,60,1
