check_group,check_id,status,detail
catalog_files,README.md,PASS,4504
catalog_files,enrichment_rules.yaml,PASS,5483
catalog_files,customer_dictionary.yaml,PASS,3818
catalog_files,market_metadata.yaml,PASS,23466
catalog_files,market_overrides.yaml,PASS,11374
ml_market,ml_001,PASS,
ml_market,ml_002,PASS,
ml_market,ml_003,PASS,
ml_market,ml_004,PASS,
ml_market,ml_005,PASS,
ml_market,ml_006,PASS,
ml_market,ml_007,PASS,
ml_market,ml_008,PASS,
ml_market,ml_009,PASS,
ml_market,ml_010,PASS,
ml_market,ml_011,PASS,
ml_market,ml_012,PASS,
ml_market,ml_013,PASS,
ml_market,ml_014,PASS,
ml_market,ml_015,PASS,
ml_market,ml_016,PASS,
ml_market,key_set,PASS,catalog=16 parquet=16
cd_market,cd_001,PASS,
cd_market,cd_002,PASS,
cd_market,cd_003,PASS,
cd_market,cd_004,PASS,
cd_market,cd_005,PASS,
cd_market,cd_006,PASS,
cd_market,cd_007,PASS,
cd_market,cd_008,PASS,
cd_market,cd_009,PASS,
cd_market,cd_010,PASS,
cd_market,cd_011,PASS,
cd_market,cd_012,PASS,
cd_market,cd_013,PASS,
cd_market,cd_014,PASS,
cd_market,cd_015,PASS,
cd_market,cd_016,PASS,
cd_market,cd_017,PASS,
cd_market,cd_018,PASS,
cd_market,cd_019,PASS,
cd_market,key_set,PASS,catalog=19 parquet=19
ml_cd_mapping,ml_001,PASS,catalog=['cd_001'] parquet=['cd_001']
ml_cd_mapping,ml_002,PASS,catalog=['cd_002'] parquet=['cd_002']
ml_cd_mapping,ml_003,PASS,catalog=['cd_003'] parquet=['cd_003']
ml_cd_mapping,ml_004,PASS,catalog=['cd_004'] parquet=['cd_004']
ml_cd_mapping,ml_005,PASS,catalog=['cd_005'] parquet=['cd_005']
ml_cd_mapping,ml_006,PASS,catalog=['cd_006'] parquet=['cd_006']
ml_cd_mapping,ml_007,PASS,catalog=['cd_007'] parquet=['cd_007']
ml_cd_mapping,ml_008,PASS,"catalog=['cd_008', 'cd_009'] parquet=['cd_008', 'cd_009']"
ml_cd_mapping,ml_009,PASS,"catalog=['cd_010', 'cd_011'] parquet=['cd_010', 'cd_011']"
ml_cd_mapping,ml_010,PASS,"catalog=['cd_012', 'cd_013'] parquet=['cd_012', 'cd_013']"
ml_cd_mapping,ml_011,PASS,catalog=['cd_014'] parquet=['cd_014']
ml_cd_mapping,ml_012,PASS,catalog=['cd_015'] parquet=['cd_015']
ml_cd_mapping,ml_013,PASS,catalog=['cd_016'] parquet=['cd_016']
ml_cd_mapping,ml_014,PASS,catalog=['cd_018'] parquet=['cd_018']
ml_cd_mapping,ml_015,PASS,catalog=['cd_017'] parquet=['cd_017']
ml_cd_mapping,ml_016,PASS,catalog=['cd_019'] parquet=['cd_019']
detail_sheets,sheet_04,PASS,
detail_sheets,sheet_05,PASS,
detail_sheets,sheet_06,PASS,
detail_sheets,sheet_07,PASS,
detail_sheets,sheet_08,PASS,
detail_sheets,sheet_09,PASS,
detail_sheets,sheet_10,PASS,
detail_sheets,sheet_11,PASS,
detail_sheets,sheet_12,PASS,
detail_sheets,sheet_13,PASS,
detail_sheets,sheet_14,PASS,
detail_sheets,sheet_15,PASS,
detail_sheets,sheet_16,PASS,
detail_sheets,sheet_17,PASS,
detail_sheets,sheet_18,PASS,
detail_sheets,sheet_19,PASS,
detail_sheets,key_set,PASS,catalog=16 xlsx_detail=16
