cd_id,column,before,after
cd_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
cd_002,ingested_at,2026-05-17T04:57:33.313742,2026-05-18T16:26:05
cd_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
cd_006,ingested_at,2026-05-17T04:57:33.313742,2026-05-18T16:26:05
cd_012,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
cd_012,ingested_at,2026-05-17T04:57:33.313742,2026-05-18T16:26:05
cd_013,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
cd_013,ingested_at,2026-05-17T04:57:33.313742,2026-05-18T16:26:05
cd_015,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
cd_015,ingested_at,2026-05-17T04:57:33.313742,2026-05-18T16:26:05
