brand_id,name,strength_pack,molecule,dosage_form,source_file_version
sb_012_00006,베노스틴,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00007,훼렉스,200,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00008,훼모럼,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00009,페린젝트,500,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00010,페린젝트,1000,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00011,페린젝트,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00012,베노훼럼,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00013,아네럼,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00014,페로빈,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00015,베노스틴,200,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00016,훼렉스,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00017,트리페릭,6.75,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00018,모노퍼,200,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00019,모노퍼,500,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00020,훼로웰,100,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_012_00021,훼로웰,200,IRON FERRIC,IV Iron,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
