brand_id,column,before,after
sb_002_00050,class,Trisulfate,Sulfate 2종
sb_006_00060,name,에젯토 정 10/10mg,에젯토 정 10/20mg
sb_006_00060,merge_name,에젯토 정 10/10mg,에젯토 정 10/20mg
sb_010_00011,molecule,Tripegfilgrastim,PEGFILGRASTIM
sb_012_00006,strength_pack,A.IV 540MG/ML 5ML,100
sb_012_00007,strength_pack,A.IV 5400MG 10ML 5,200
sb_012_00008,strength_pack,A.IV 540MG/ML 5ML 5,100
sb_012_00009,strength_pack,V.IV 50MG/ML 10ML,500
sb_012_00010,strength_pack,V.IV 50MG/ML 20ML,1000
sb_012_00011,strength_pack,V.IV 50MG/ML 2ML,100
sb_012_00012,strength_pack,A.IV 540MG/ML 5ML 5,100
sb_012_00013,strength_pack,A.IV 100MG 5ML 5,100
sb_012_00014,strength_pack,A.IV 540MG/ML 5ML,100
sb_012_00015,strength_pack,A.IV 540MG/ML 10ML,200
sb_012_00016,strength_pack,A.IV 2700MG 5ML 5,100
sb_012_00017,strength_pack,A.IV 6.75MG 4.5ML,6.75
sb_012_00018,strength_pack,A.IV 417MG/ML 2ML,200
sb_012_00019,strength_pack,A.IV 417MG/ML 5ML,500
sb_012_00020,strength_pack,A.IV 100MG 5ML 5,100
sb_012_00021,strength_pack,A.IV 200MG 10ML 5,200
