product_id,brand_id,ml_id,name,changed_columns,diff_cells,source_file_version
sp_002_00050_001,sb_002_00050,ml_002,SUPREP MINI S C.T.F 25T*1P 300,class,1,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_006_00060_001,sb_006_00060,ml_006,에젯토 정 10/20mg 20/10mg,"name, merge_name",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_010_00011_001,sb_010_00011,ml_010,DULASTIN PRE-F SRN SC 6MG 0.6ML,"name, molecule, dosage_form, strength_pack",4,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00006_001,sb_012_00006,ml_012,베노스틴 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00007_001,sb_012_00007,ml_012,훼렉스 200,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00008_001,sb_012_00008,ml_012,훼모럼 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00009_001,sb_012_00009,ml_012,페린젝트 500,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00010_001,sb_012_00010,ml_012,페린젝트 1000,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00011_001,sb_012_00011,ml_012,페린젝트 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00012_001,sb_012_00012,ml_012,베노훼럼 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00013_001,sb_012_00013,ml_012,아네럼 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00014_001,sb_012_00014,ml_012,페로빈 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00015_001,sb_012_00015,ml_012,베노스틴 200,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00016_001,sb_012_00016,ml_012,훼렉스 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00017_001,sb_012_00017,ml_012,트리페릭 6.75,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00018_001,sb_012_00018,ml_012,모노퍼 200,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00019_001,sb_012_00019,ml_012,모노퍼 500,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00020_001,sb_012_00020,ml_012,훼로웰 100,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_012_00021_001,sb_012_00021,ml_012,훼로웰 200,"name, strength_pack",2,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
