product_id,column,before,after
sp_002_00006_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00006_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00007_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00007_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00007_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00007_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00007_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00007_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00008_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00008_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00008_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00008_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00008_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00008_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00009_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00009_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00009_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00009_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00009_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00009_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00010_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00010_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00010_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00010_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00010_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00010_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00011_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00011_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00011_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00011_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00011_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
