sickCd,sickNm,sickEngNm
A00,콜레라,Cholera
A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,상세불명의 콜레라,"Cholera, unspecified"
A01,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers
A010,장티푸스,Typhoid fever
A011,파라티푸스 A,Paratyphoid fever A
A012,파라티푸스 B,Paratyphoid fever B
A013,파라티푸스 C,Paratyphoid fever C
A014,상세불명의 파라티푸스,"Paratyphoid fever, unspecified"
A02,기타 살모넬라감염,Other salmonella infections
A020,살모넬라장염,Salmonella enteritis
A021,살모넬라패혈증,Salmonella sepsis
A022,국소적 살모넬라감염,Localized salmonella infections
A028,기타 명시된 살모넬라감염,Other specified salmonella infections
A029,상세불명의 살모넬라감염,"Salmonella infection, unspecified"
A03,시겔라증,Shigellosis
A030,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae
A031,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri
A032,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii
A033,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei
A038,기타 시겔라증,Other shigellosis
A039,상세불명의 시겔라증,"Shigellosis, unspecified"
A04,기타 세균성 장감염,Other bacterial intestinal infections
A040,장병원성 대장균감염,Enteropathogenic Escherichia coli infection
A041,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection
A042,장침투성 대장균감염,Enteroinvasive Escherichia coli infection
A043,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection
A044,기타 장대장균감염,Other intestinal Escherichia coli infection
A045,캄필로박터장염,Campylobacter enteritis
A046,예르시니아 엔테로콜리티카에 의한 장염,Enteritis due to Yersinia enterocolitica
A047,클로스트리듐 디피실리에 의한 장결장염,Enterocolitis due to Clostridium difficile
A048,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections
A049,상세불명의 세균성 장감염,"Bacterial intestinal infection, unspecified"
A05,달리 분류되지 않은 기타 세균성 음식매개중독,"Other bacterial foodborne intoxications, NEC"
A050,음식매개포도알균중독,Foodborne staphylococcal intoxication
A051,보틀리눔중독,Botulism
A052,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication
A054,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication
