target_priority_id,competitive_dynamics_id,source_view,strategic_market_id,product_name_kor,priority_rank,target_customer,source_type,source_evidence,raw_row_id,raw_column_ids,raw_product_name_kor_json,raw_value_json,raw_conflict_values_json,data_source_type,cd_definition_type,cd_brand_count,auto_fill_scope,auto_fill_metric,auto_fill_source,auto_fill_tie_break,precompute_status,source_file_version
tp_001,cd_001,UBIST,strategy_001,라베칸/라베칸듀오,1,GH GI,raw_from_sheet,시장정의 & Target R54 / col C,54,"[""C""]","[""라베칸/라베칸듀오""]","[""GH GI""]",[],UBIST,filter_explicit,116,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_002,cd_001,UBIST,strategy_001,라베칸/라베칸듀오,2,GH Cardio,raw_from_sheet,시장정의 & Target R55 / col C,55,"[""C""]","[""라베칸/라베칸듀오""]","[""GH Cardio""]",[],UBIST,filter_explicit,116,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_003,cd_001,UBIST,strategy_001,라베칸/라베칸듀오,3,CL IGF,raw_from_sheet,시장정의 & Target R56 / col C,56,"[""C""]","[""라베칸/라베칸듀오""]","[""CL IGF""]",[],UBIST,filter_explicit,116,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_004,cd_001,UBIST,strategy_001,라베칸/라베칸듀오,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""C""]","[""라베칸/라베칸듀오""]",[null],[],UBIST,filter_explicit,116,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_005,cd_002,IQVIA,strategy_002,제이클,1,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,54,"[""D""]","[""제이클""]",[null],[],IQVIA,filter_explicit,24,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_006,cd_002,IQVIA,strategy_002,제이클,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""D""]","[""제이클""]",[null],[],IQVIA,filter_explicit,24,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_007,cd_002,IQVIA,strategy_002,제이클,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""D""]","[""제이클""]",[null],[],IQVIA,filter_explicit,24,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_008,cd_002,IQVIA,strategy_002,제이클,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""D""]","[""제이클""]",[null],[],IQVIA,filter_explicit,24,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_009,cd_003,IQVIA,strategy_003,가드렛/가드메트,1,GH Endo,raw_from_sheet,시장정의 & Target R54 / col E,54,"[""E""]","[""가드렛/가드메트""]","[""GH Endo""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_010,cd_003,IQVIA,strategy_003,가드렛/가드메트,2,GH Cardio,raw_from_sheet,시장정의 & Target R55 / col E,55,"[""E""]","[""가드렛/가드메트""]","[""GH Cardio""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_011,cd_003,IQVIA,strategy_003,가드렛/가드메트,3,GH Nephro,raw_from_sheet,시장정의 & Target R56 / col E,56,"[""E""]","[""가드렛/가드메트""]","[""GH Nephro""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_012,cd_003,IQVIA,strategy_003,가드렛/가드메트,4,CL IGF,raw_from_sheet,시장정의 & Target R57 / col E,57,"[""E""]","[""가드렛/가드메트""]","[""CL IGF""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_013,cd_003,UBIST,strategy_003,가드렛/가드메트,1,GH Endo,raw_from_sheet,시장정의 & Target R54 / col E,54,"[""E""]","[""가드렛/가드메트""]","[""GH Endo""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_014,cd_003,UBIST,strategy_003,가드렛/가드메트,2,GH Cardio,raw_from_sheet,시장정의 & Target R55 / col E,55,"[""E""]","[""가드렛/가드메트""]","[""GH Cardio""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_015,cd_003,UBIST,strategy_003,가드렛/가드메트,3,GH Nephro,raw_from_sheet,시장정의 & Target R56 / col E,56,"[""E""]","[""가드렛/가드메트""]","[""GH Nephro""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_016,cd_003,UBIST,strategy_003,가드렛/가드메트,4,CL IGF,raw_from_sheet,시장정의 & Target R57 / col E,57,"[""E""]","[""가드렛/가드메트""]","[""CL IGF""]",[],BOTH,filter_explicit,18,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_017,cd_004,IQVIA,strategy_004,타발리스,1,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,54,"[""F""]","[""타발리스""]",[null],[],IQVIA,ml_equals_cd_exact,10,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_018,cd_004,IQVIA,strategy_004,타발리스,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""F""]","[""타발리스""]",[null],[],IQVIA,ml_equals_cd_exact,10,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_019,cd_004,IQVIA,strategy_004,타발리스,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""F""]","[""타발리스""]",[null],[],IQVIA,ml_equals_cd_exact,10,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_020,cd_004,IQVIA,strategy_004,타발리스,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=IQVIA; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""F""]","[""타발리스""]",[null],[],IQVIA,ml_equals_cd_exact,10,CD market top 4,sales,IQVIA,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_021,cd_005,UBIST,strategy_005,시그마트,1,GH Cardio,raw_from_sheet,시장정의 & Target R54 / col G,54,"[""G""]","[""시그마트""]","[""GH Cardio""]",[],UBIST,filter_explicit,11,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_022,cd_005,UBIST,strategy_005,시그마트,2,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,55,"[""G""]","[""시그마트""]",[null],[],UBIST,filter_explicit,11,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_023,cd_005,UBIST,strategy_005,시그마트,3,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,56,"[""G""]","[""시그마트""]",[null],[],UBIST,filter_explicit,11,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_024,cd_005,UBIST,strategy_005,시그마트,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""G""]","[""시그마트""]",[null],[],UBIST,filter_explicit,11,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_025,cd_006,UBIST,strategy_006,리바로/리바로젯,1,GH Cardio,raw_from_sheet,시장정의 & Target R54 / col H,54,"[""H""]","[""리바로/리바로젯""]","[""GH Cardio""]",[],UBIST,ml_equals_cd_exact,1047,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_026,cd_006,UBIST,strategy_006,리바로/리바로젯,2,GH Endo,raw_from_sheet,시장정의 & Target R55 / col H,55,"[""H""]","[""리바로/리바로젯""]","[""GH Endo""]",[],UBIST,ml_equals_cd_exact,1047,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_027,cd_006,UBIST,strategy_006,리바로/리바로젯,3,GH Neuro,raw_from_sheet,시장정의 & Target R56 / col H,56,"[""H""]","[""리바로/리바로젯""]","[""GH Neuro""]",[],UBIST,ml_equals_cd_exact,1047,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_028,cd_006,UBIST,strategy_006,리바로/리바로젯,4,CL IGF,raw_from_sheet,시장정의 & Target R57 / col H,57,"[""H""]","[""리바로/리바로젯""]","[""CL IGF""]",[],UBIST,ml_equals_cd_exact,1047,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_029,cd_007,UBIST,strategy_007,리바로페노,1,GH Cardio,raw_from_sheet,시장정의 & Target R54 / col I,54,"[""I""]","[""리바로페노""]","[""GH Cardio""]",[],UBIST,ml_equals_cd_exact,117,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_030,cd_007,UBIST,strategy_007,리바로페노,2,GH Endo,raw_from_sheet,시장정의 & Target R55 / col I,55,"[""I""]","[""리바로페노""]","[""GH Endo""]",[],UBIST,ml_equals_cd_exact,117,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_031,cd_007,UBIST,strategy_007,리바로페노,3,CL IGF,raw_from_sheet,시장정의 & Target R56 / col I,56,"[""I""]","[""리바로페노""]","[""CL IGF""]",[],UBIST,ml_equals_cd_exact,117,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_032,cd_007,UBIST,strategy_007,리바로페노,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""I""]","[""리바로페노""]",[null],[],UBIST,ml_equals_cd_exact,117,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_033,cd_008,UBIST,strategy_008,리바로하이,1,GH Cardio,raw_from_sheet,시장정의 & Target R54 / col J,54,"[""J""]","[""리바로하이""]","[""GH Cardio""]",[],UBIST,filter_explicit,20,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_034,cd_008,UBIST,strategy_008,리바로하이,2,GH Endo,raw_from_sheet,시장정의 & Target R55 / col J,55,"[""J""]","[""리바로하이""]","[""GH Endo""]",[],UBIST,filter_explicit,20,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_035,cd_008,UBIST,strategy_008,리바로하이,3,GH Neuro,raw_from_sheet,시장정의 & Target R56 / col J,56,"[""J""]","[""리바로하이""]","[""GH Neuro""]",[],UBIST,filter_explicit,20,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_036,cd_008,UBIST,strategy_008,리바로하이,4,CL IGF,raw_from_sheet,시장정의 & Target R57 / col J,57,"[""J""]","[""리바로하이""]","[""CL IGF""]",[],UBIST,filter_explicit,20,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_037,cd_009,UBIST,strategy_008,리바로브이,1,GH Cardio,raw_from_sheet,시장정의 & Target R54 / col K,54,"[""K""]","[""리바로브이""]","[""GH Cardio""]",[],UBIST,filter_explicit,26,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_038,cd_009,UBIST,strategy_008,리바로브이,2,GH Endo,raw_from_sheet,시장정의 & Target R55 / col K,55,"[""K""]","[""리바로브이""]","[""GH Endo""]",[],UBIST,filter_explicit,26,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_039,cd_009,UBIST,strategy_008,리바로브이,3,GH Neuro,raw_from_sheet,시장정의 & Target R56 / col K,56,"[""K""]","[""리바로브이""]","[""GH Neuro""]",[],UBIST,filter_explicit,26,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_040,cd_009,UBIST,strategy_008,리바로브이,4,CL IGF,raw_from_sheet,시장정의 & Target R57 / col K,57,"[""K""]","[""리바로브이""]","[""CL IGF""]",[],UBIST,filter_explicit,26,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_041,cd_010,UBIST,strategy_009,트루패스,1,GH Uro,raw_from_sheet,시장정의 & Target R54 / col L,54,"[""L""]","[""트루패스""]","[""GH Uro""]",[],UBIST,filter_explicit,160,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_042,cd_010,UBIST,strategy_009,트루패스,2,CL Uro,raw_from_sheet,시장정의 & Target R55 / col L,55,"[""L""]","[""트루패스""]","[""CL Uro""]",[],UBIST,filter_explicit,160,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_043,cd_010,UBIST,strategy_009,트루패스,3,CL IGF,raw_from_sheet,시장정의 & Target R56 / col L,56,"[""L""]","[""트루패스""]","[""CL IGF""]",[],UBIST,filter_explicit,160,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_044,cd_010,UBIST,strategy_009,트루패스,4,,auto_fill_top_n_by_sales,PENDING auto-fill: scope=CD market; metric=sales; source=UBIST; tie_break=drug_index; requires Q-30/Q-31/Q-32 decisions,57,"[""L""]","[""트루패스""]",[null],[],UBIST,filter_explicit,160,CD market top 4,sales,UBIST,drug_index,pending_decision,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
tp_045,cd_011,UBIST,strategy_009,피나스타/제이다트,1,GH Uro,raw_from_sheet,시장정의 & Target R54 / col M,54,"[""M""]","[""피나스타/제이다트""]","[""GH Uro""]",[],UBIST,filter_explicit,140,,,,,materialized,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx
