NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/app-data-analysis-api-deployment               1/1     1            1           107d    app-data-analysis-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/app-data-analysis-api:v1.8.1                                                                                                  app=app-data-analysis-api
deployment.apps/code-serving-100                               1/1     1            1           46h     code-serving-100                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-100
deployment.apps/code-serving-103                               1/1     1            1           46h     code-serving-103                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-103
deployment.apps/code-serving-106                               1/1     1            1           46h     code-serving-106                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-106
deployment.apps/code-serving-112                               1/1     1            1           46h     code-serving-112                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-112
deployment.apps/code-serving-115                               1/1     1            1           46h     code-serving-115                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-115
deployment.apps/code-serving-118                               1/1     1            1           46h     code-serving-118                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-118
deployment.apps/code-serving-121                               1/1     1            1           46h     code-serving-121                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-121
deployment.apps/code-serving-124                               1/1     1            1           46h     code-serving-124                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-124
deployment.apps/code-serving-127                               1/1     1            1           46h     code-serving-127                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-127
deployment.apps/code-serving-130                               1/1     1            1           46h     code-serving-130                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-130
deployment.apps/code-serving-133                               1/1     1            1           46h     code-serving-133                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/mnc/template-code-serving:mcps                                                                                                app=code-serving-133
