level,market,brand_id,brand_name,brand_normalized,matched_brand_in_master,current_value,target_value,policy,match_type,action,confidence
ml,ml_001,sb_001_00225,가나플럭스,가나플럭스,가나플럭스,Omeprazole,Omeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00248,경보 라베프라졸,경보라베프라졸,경보라베프라졸,Rabeprazole,Rabeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00227,경보 토프라졸,경보토프라졸,경보토프라졸,Pantoprazole,Pantoprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00321,글로라베,글로라베,글로라베,Rabeprazole,Rabeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00059,네메올,네메올,네메올,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00141,네메올 듀오,네메올듀오,네메올듀오,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00061,네오메졸,네오메졸,네오메졸,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00309,네오베트,네오베트,네오베트,Rabeprazole,Rabeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00102,넥사브이,넥사브이,넥사브이,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00125,넥세라,넥세라,넥세라,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00106,넥소메,넥소메,넥소메,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00027,넥소칸,넥소칸,넥소칸,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00052,넥스라졸,넥스라졸,넥스라졸,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00111,넥스온,넥스온,넥스온,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00088,넥스졸,넥스졸,넥스졸,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
ml,ml_001,sb_001_00142,넥스졸 듀오,넥스졸듀오,넥스졸듀오,Esomeprazole,Esomeprazole,ingredient_recode,normalized,NOOP,HIGH
